alpha,gt_bin,initial_center_condition,N_queries,N_initial_proposals,N_final_proposals,median_initial_width_sec,median_initial_width_gt_ratio,median_final_width_sec,median_final_width_gt_ratio,median_final_abs_log_width_gt_ratio,median_final_center_error_sec,Oracle10_IoU>=0.5,Oracle10_IoU>=0.7,R1@0.5,R1@0.7,Center_Hit10<=2s
1.0,10-20s,<= 1s,77,106,106,62.381585121154785,4.66427705085112,9.198801163583994,0.6965899415728118,0.6263518608103172,3.6201831325888634,0.7532467532467533,0.37662337662337664,0.2727272727272727,0.12987012987012986,0.8441558441558441
1.0,10-20s,<= 2s,114,208,208,70.04444456100464,5.6487240515649315,9.023153573274612,0.6700626179379852,0.5692523997785919,3.27965384721756,0.7192982456140351,0.39473684210526316,0.2894736842105263,0.14035087719298245,0.8421052631578947
1.0,20s+,<= 1s,82,93,93,105.60949623584747,2.56714590029283,11.453640460968018,0.3115840829908848,1.1660860478342658,6.008506873622537,0.7317073170731707,0.4268292682926829,0.32926829268292684,0.13414634146341464,0.6707317073170732
1.0,20s+,<= 2s,146,213,213,100.06454396247864,2.3537134302825464,10.952335745096207,0.3115840829908848,1.175384340687347,5.901396006345749,0.6712328767123288,0.3767123287671233,0.2945205479452055,0.1232876712328767,0.6506849315068494
1.5,0-2s,<= 1s,14,14,14,65.61214806139469,65.61214806139469,16.499982587993145,16.499982587993145,2.780163382921807,11.042306989431381,0.07142857142857142,0.07142857142857142,0.0,0.0,0.5
1.5,0-2s,<= 2s,18,23,23,96.85142195224762,96.85142195224762,12.349197641015053,12.349197641015053,2.51359109262459,13.535761386156082,0.05555555555555555,0.05555555555555555,0.0,0.0,0.4444444444444444
1.5,2-5s,<= 1s,107,141,141,85.2014422416687,33.16256169974804,9.24930777400732,3.6674408242106438,1.299494095720271,4.254314482212067,0.2336448598130841,0.028037383177570093,0.11214953271028037,0.0,0.7663551401869159
1.5,2-5s,<= 2s,163,273,273,84.91743743419647,30.4695003926754,10.013432800769806,3.6674408242106438,1.299494095720271,4.951467752456665,0.1901840490797546,0.03067484662576687,0.08588957055214724,0.006134969325153374,0.7055214723926381
1.5,5-10s,<= 1s,73,107,107,113.37099504470825,15.165856719017029,12.336528461426497,1.8258416983298957,1.2340381093894393,5.058392196893692,0.4794520547945205,0.2054794520547945,0.2191780821917808,0.0821917808219178,0.7808219178082192
1.5,5-10s,<= 2s,116,209,209,95.90400123596191,14.21672248840332,10.847286324948072,1.6265222616493702,0.9138284689921312,4.728260040283203,0.4482758620689655,0.20689655172413793,0.22413793103448276,0.11206896551724138,0.7586206896551724
1.5,10-20s,<= 1s,77,106,106,84.91743743419647,6.769186889583414,11.679048277437687,0.8889593404608888,1.2899723959078067,3.892492562532425,0.6623376623376623,0.2857142857142857,0.14285714285714285,0.03896103896103896,0.7922077922077922
1.5,10-20s,<= 2s,114,208,208,101.05755043029785,7.992000102996826,12.141192555427551,1.000046765231169,1.1578544298479856,3.7513783872127533,0.5964912280701754,0.2719298245614035,0.11403508771929824,0.02631578947368421,0.7631578947368421
1.5,20s+,<= 1s,82,93,93,149.8500019311905,3.7270385095706353,19.838029146194458,0.43078997721895573,1.510146344621206,7.999253273010254,0.6463414634146342,0.35365853658536583,0.3048780487804878,0.0975609756097561,0.6463414634146342
1.5,20s+,<= 2s,146,213,213,149.05644088983536,3.4965000450611115,19.77893489599228,0.5462562343791911,1.466842168518088,7.7474387884140015,0.6506849315068494,0.3561643835616438,0.2876712328767123,0.11643835616438356,0.6232876712328768
