alpha,gt_bin,initial_center_condition,stage,N_proposals,median_width_gt_ratio,median_abs_log_width_gt_ratio,across_alpha_variance_median_width_gt_ratio,across_alpha_range_median_width_gt_ratio,across_alpha_variance_median_abs_log_width_gt_ratio,across_alpha_range_median_abs_log_width_gt_ratio
1.0,5-10s,<= 2s,decoder_layer2,209,1.5267694400002558,0.6222191011749574,0.2093451091384429,1.1253157351166012,0.095489458653778,0.7283892853652516
1.5,5-10s,<= 2s,decoder_layer2,209,2.652085175116857,1.328286721763069,0.2093451091384429,1.1253157351166012,0.095489458653778,0.7283892853652516
0.5,5-10s,<= 2s,final_span,209,1.0319292843341827,0.4295402964130702,0.06011798061417972,0.5945929773151875,0.04086766516580298,0.48428817257906104
0.75,5-10s,<= 2s,final_span,209,1.055547408759594,0.45041442852769814,0.06011798061417972,0.5945929773151875,0.04086766516580298,0.48428817257906104
1.0,5-10s,<= 2s,final_span,209,1.102509003664766,0.4634515531668487,0.06011798061417972,0.5945929773151875,0.04086766516580298,0.48428817257906104
1.5,5-10s,<= 2s,final_span,209,1.6265222616493702,0.9138284689921312,0.06011798061417972,0.5945929773151875,0.04086766516580298,0.48428817257906104
0.5,10-20s,<= 1s,initial,106,2.3321387475977344,0.9624846144492045,2.6859781783580514,4.43704814198568,0.12355411074892517,0.9498705425147012
0.75,10-20s,<= 1s,initial,106,3.498207584851318,1.2522397937291183,2.6859781783580514,4.43704814198568,0.12355411074892517,0.9498705425147012
1.0,10-20s,<= 1s,initial,106,4.66427705085112,1.5399219241959656,2.6859781783580514,4.43704814198568,0.12355411074892517,0.9498705425147012
1.5,10-20s,<= 1s,initial,106,6.769186889583414,1.9123551569639057,2.6859781783580514,4.43704814198568,0.12355411074892517,0.9498705425147012
0.5,10-20s,<= 1s,decoder_layer1,106,1.5856154833275538,0.5550569752194661,0.28005157179218787,1.4114625387623176,0.07564032128063054,0.7124501757919834
0.75,10-20s,<= 1s,decoder_layer1,106,1.8792601419346673,0.6505886288408952,0.28005157179218787,1.4114625387623176,0.07564032128063054,0.7124501757919834
1.0,10-20s,<= 1s,decoder_layer1,106,2.0335254929959774,0.7564501576785292,0.28005157179218787,1.4114625387623176,0.07564032128063054,0.7124501757919834
1.5,10-20s,<= 1s,decoder_layer1,106,2.9970780220898714,1.2675071510114495,0.28005157179218787,1.4114625387623176,0.07564032128063054,0.7124501757919834
0.5,10-20s,<= 1s,decoder_layer2,106,0.8797972825122997,0.5515939959922442,0.07890293611358576,0.7157147040035432,0.16240655687855404,0.9364956122790782
0.75,10-20s,<= 1s,decoder_layer2,106,0.9993276131503722,0.5523181273938513,0.07890293611358576,0.7157147040035432,0.16240655687855404,0.9364956122790782
1.0,10-20s,<= 1s,decoder_layer2,106,0.9884223730806361,0.5687147556572869,0.07890293611358576,0.7157147040035432,0.16240655687855404,0.9364956122790782
1.5,10-20s,<= 1s,decoder_layer2,106,1.595511986515843,1.4880896082713224,0.07890293611358576,0.7157147040035432,0.16240655687855404,0.9364956122790782
0.5,10-20s,<= 1s,final_span,106,0.5678033239238864,0.6456579131243734,0.014158656076588765,0.3211560165370023,0.08451972635607151,0.701250212652397
0.75,10-20s,<= 1s,final_span,106,0.6412750668823719,0.5887221832554097,0.014158656076588765,0.3211560165370023,0.08451972635607151,0.701250212652397
1.0,10-20s,<= 1s,final_span,106,0.6965899415728118,0.6263518608103172,0.014158656076588765,0.3211560165370023,0.08451972635607151,0.701250212652397
1.5,10-20s,<= 1s,final_span,106,0.8889593404608888,1.2899723959078067,0.014158656076588765,0.3211560165370023,0.08451972635607151,0.701250212652397
0.5,10-20s,<= 2s,initial,208,2.824362137168646,1.0876727882860928,3.6415257907167486,5.16763796582818,0.1330529695475008,0.9907682659476502
0.75,10-20s,<= 2s,initial,208,4.236543071269989,1.4437451989425827,3.6415257907167486,5.16763796582818,0.1330529695475008,0.9907682659476502
1.0,10-20s,<= 2s,initial,208,5.6487240515649315,1.73142726350962,3.6415257907167486,5.16763796582818,0.1330529695475008,0.9907682659476502
1.5,10-20s,<= 2s,initial,208,7.992000102996826,2.078441054233743,3.6415257907167486,5.16763796582818,0.1330529695475008,0.9907682659476502
0.5,10-20s,<= 2s,decoder_layer1,208,1.7702285215258597,0.6500907758476829,0.3250025499784139,1.4835720030985997,0.05429955285048074,0.5990709522533614
0.75,10-20s,<= 2s,decoder_layer1,208,2.0978901403791763,0.7504587323496887,0.3250025499784139,1.4835720030985997,0.05429955285048074,0.5990709522533614
1.0,10-20s,<= 2s,decoder_layer1,208,2.036957560727994,0.7604360224763373,0.3250025499784139,1.4835720030985997,0.05429955285048074,0.5990709522533614
1.5,10-20s,<= 2s,decoder_layer1,208,3.2538005246244595,1.2491617281010443,0.3250025499784139,1.4835720030985997,0.05429955285048074,0.5990709522533614
0.5,10-20s,<= 2s,decoder_layer2,208,0.94582842379741,0.5143595391699742,0.08132768287508889,0.7060806451274173,0.14976325883378727,0.9082133790932483
0.75,10-20s,<= 2s,decoder_layer2,208,1.0431781166287906,0.5146087309824037,0.08132768287508889,0.7060806451274173,0.14976325883378727,0.9082133790932483
1.0,10-20s,<= 2s,decoder_layer2,208,0.9084785116927607,0.5607878701940845,0.08132768287508889,0.7060806451274173,0.14976325883378727,0.9082133790932483
1.5,10-20s,<= 2s,decoder_layer2,208,1.614559156820178,1.4225729182632225,0.08132768287508889,0.7060806451274173,0.14976325883378727,0.9082133790932483
0.5,10-20s,<= 2s,final_span,208,0.6194366100761626,0.5826364295030615,0.02293681287854942,0.3806101551550065,0.06741038378509559,0.6296169068842066
0.75,10-20s,<= 2s,final_span,208,0.671469562632196,0.528237522963779,0.02293681287854942,0.3806101551550065,0.06741038378509559,0.6296169068842066
1.0,10-20s,<= 2s,final_span,208,0.6700626179379852,0.5692523997785919,0.02293681287854942,0.3806101551550065,0.06741038378509559,0.6296169068842066
1.5,10-20s,<= 2s,final_span,208,1.000046765231169,1.1578544298479856,0.02293681287854942,0.3806101551550065,0.06741038378509559,0.6296169068842066
