alpha,gt_bin,initial_center_condition,stage,N_proposals,median_width_gt_ratio,median_abs_log_width_gt_ratio,across_alpha_variance_median_width_gt_ratio,across_alpha_range_median_width_gt_ratio,across_alpha_variance_median_abs_log_width_gt_ratio,across_alpha_range_median_abs_log_width_gt_ratio
0.5,2-5s,<= 2s,decoder_layer2,273,3.066826470196247,1.121643423540129,1.1331173284659766,2.5697716902941465,0.06330007117197817,0.6099766274650056
0.75,2-5s,<= 2s,decoder_layer2,273,3.2923708856105804,1.1916079391695202,1.1331173284659766,2.5697716902941465,0.06330007117197817,0.6099766274650056
1.0,2-5s,<= 2s,decoder_layer2,273,2.992515593767166,1.1060327782285155,1.1331173284659766,2.5697716902941465,0.06330007117197817,0.6099766274650056
1.5,2-5s,<= 2s,decoder_layer2,273,5.562287284061313,1.7160094056935211,1.1331173284659766,2.5697716902941465,0.06330007117197817,0.6099766274650056
0.5,2-5s,<= 2s,final_span,273,1.89822768419981,0.6697544540527774,0.5329155729193104,1.7692131400108337,0.0661883103781384,0.6297396416674935
0.75,2-5s,<= 2s,final_span,273,2.0057114362716675,0.7137914053052591,0.5329155729193104,1.7692131400108337,0.0661883103781384,0.6297396416674935
1.0,2-5s,<= 2s,final_span,273,2.056187391281128,0.7413022665329065,0.5329155729193104,1.7692131400108337,0.0661883103781384,0.6297396416674935
1.5,2-5s,<= 2s,final_span,273,3.6674408242106438,1.299494095720271,0.5329155729193104,1.7692131400108337,0.0661883103781384,0.6297396416674935
0.5,5-10s,<= 1s,initial,107,5.713283247417873,1.7427938579668099,12.237635109780555,9.452573471599155,0.1304145475435183,0.9762527747542524
0.75,5-10s,<= 1s,initial,107,8.56992487112681,2.1482589660749745,12.237635109780555,9.452573471599155,0.1304145475435183,0.9762527747542524
1.0,5-10s,<= 1s,initial,107,11.426566494835747,2.4359410385267553,12.237635109780555,9.452573471599155,0.1304145475435183,0.9762527747542524
1.5,5-10s,<= 1s,initial,107,15.165856719017029,2.7190466327210623,12.237635109780555,9.452573471599155,0.1304145475435183,0.9762527747542524
0.5,5-10s,<= 1s,decoder_layer1,107,3.065531961619854,1.1202211144000984,1.7604461887665404,3.3574602100998163,0.08056201045694543,0.7396629650860349
0.75,5-10s,<= 1s,decoder_layer1,107,3.5469711780548097,1.2660940500338613,1.7604461887665404,3.3574602100998163,0.08056201045694543,0.7396629650860349
1.0,5-10s,<= 1s,decoder_layer1,107,3.57070192694664,1.2727621946570604,1.7604461887665404,3.3574602100998163,0.08056201045694543,0.7396629650860349
1.5,5-10s,<= 1s,decoder_layer1,107,6.42299217171967,1.8598840794861333,1.7604461887665404,3.3574602100998163,0.08056201045694543,0.7396629650860349
0.5,5-10s,<= 1s,decoder_layer2,107,1.6405843198299408,0.5998974363978173,0.19989375196238848,1.0935625930627189,0.19987989818551885,1.0415714709206203
0.75,5-10s,<= 1s,decoder_layer2,107,1.673126717408498,0.6049909153833598,0.19989375196238848,1.0935625930627189,0.19987989818551885,1.0415714709206203
1.0,5-10s,<= 1s,decoder_layer2,107,1.5585225820541382,0.5886801918967368,0.19989375196238848,1.0935625930627189,0.19987989818551885,1.0415714709206203
1.5,5-10s,<= 1s,decoder_layer2,107,2.652085175116857,1.6302516628173571,0.19989375196238848,1.0935625930627189,0.19987989818551885,1.0415714709206203
0.5,5-10s,<= 1s,final_span,107,1.0711164739396837,0.42720309177670074,0.0922188145535725,0.7547252243902121,0.113282652557937,0.8068350176127386
0.75,5-10s,<= 1s,final_span,107,1.2103279555837314,0.4838389065033821,0.0922188145535725,0.7547252243902121,0.113282652557937,0.8068350176127386
1.0,5-10s,<= 1s,final_span,107,1.1207420378923416,0.4634515531668487,0.0922188145535725,0.7547252243902121,0.113282652557937,0.8068350176127386
1.5,5-10s,<= 1s,final_span,107,1.8258416983298957,1.2340381093894393,0.0922188145535725,0.7547252243902121,0.113282652557937,0.8068350176127386
0.5,5-10s,<= 2s,initial,209,5.394837951660156,1.685442561495344,10.670986766861052,8.821884536743164,0.12875986005599754,0.968976350266173
0.75,5-10s,<= 2s,initial,209,8.092256927490235,2.0909076696035087,10.670986766861052,8.821884536743164,0.12875986005599754,0.968976350266173
1.0,5-10s,<= 2s,initial,209,10.789675903320312,2.3785897420552895,10.670986766861052,8.821884536743164,0.12875986005599754,0.968976350266173
1.5,5-10s,<= 2s,initial,209,14.21672248840332,2.654418911761517,10.670986766861052,8.821884536743164,0.12875986005599754,0.968976350266173
0.5,5-10s,<= 2s,decoder_layer1,209,3.108586703027998,1.1341681865782602,1.0348399567015452,2.585328849535139,0.05405481413170195,0.6052299712162776
0.75,5-10s,<= 2s,decoder_layer1,209,3.4761353731155396,1.2459211517298283,1.0348399567015452,2.585328849535139,0.05405481413170195,0.6052299712162776
1.0,5-10s,<= 2s,decoder_layer1,209,3.5429243544737496,1.264952474956492,1.0348399567015452,2.585328849535139,0.05405481413170195,0.6052299712162776
1.5,5-10s,<= 2s,decoder_layer1,209,5.693915552563137,1.7393981577945379,1.0348399567015452,2.585328849535139,0.05405481413170195,0.6052299712162776
0.5,5-10s,<= 2s,decoder_layer2,209,1.6033266466110945,0.5998974363978173,0.2093451091384429,1.1253157351166012,0.095489458653778,0.7283892853652516
0.75,5-10s,<= 2s,decoder_layer2,209,1.677905077735583,0.6227895410404556,0.2093451091384429,1.1253157351166012,0.095489458653778,0.7283892853652516
