qid,duration_bin,cohort,audio_duration_sec,gt_duration_sec,full_center_hit10_2s,hard25_center_hit10_2s,gt_only_center_hit10_2s,full_oracle10_iou07,hard25_oracle10_iou07,gt_only_oracle10_iou07,full_width_gt_ratio,hard25_width_gt_ratio,gt_only_width_gt_ratio,hard_minus_full_center_pp,hard_minus_full_oracle_pp,hard_minus_full_width_gt_ratio
RNBoH2LHQEM_2,2-5s,control,299.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,1.5,1.75,5.5,0.0,-100.0,0.25
RfGapDlAYoQ_1,2-5s,harmful,150.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.6666666666666667,1.3333333333333333,-100.0,0.0,0.3333333333333335
RfGapDlAYoQ_2,0-2s,harmful,150.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,6.0,8.0,0.0,0.0,1.0
RfGapDlAYoQ_3,2-5s,harmful,150.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.75,0.0,0.0,0.0,0.25
Rp4Ct_TQvAM_2,2-5s,harmful,299.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,7.5,0.0,0.0,0.0,2.0
RrmBGjJqlEo_1,2-5s,harmful,300.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,5.5,5.5,4.0,-100.0,0.0,0.0
S0SQyFXbqF8_2,2-5s,control,96.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,3.5,3.0,0.0,0.0,0.5
SQHYl2Kp5ww_2,2-5s,control,300.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,28.5,33.75,32.25,100.0,0.0,5.25
T32kii824pA_2,2-5s,control,299.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.5,4.0,1.0,100.0,0.0,-0.5
T9_ep-3BZDY_1,0-2s,control,299.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,10.0,5.0,100.0,0.0,1.0
T9_ep-3BZDY_2,0-2s,harmful,299.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,34.0,3.0,0.0,0.0,19.0
Tgxst7Ft9js_1,2-5s,control,225.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.75,0.0,0.0,0.0
TtRtURWVYBE_2,2-5s,control,67.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.3333333333333335,2.6666666666666665,0.0,-100.0,1.3333333333333335
U3CAjsm1sec_1,2-5s,harmful,89.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,0.5,0.0,0.0,1.25
U5ij0M7T-hk_1,2-5s,control,223.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,3.3333333333333335,0.0,0.0,0.0
U90e2P9jy30_1,2-5s,harmful,300.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,5.5,7.0,5.0,-100.0,0.0,1.5
U90e2P9jy30_2,2-5s,control,300.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.333333333333333,1.6666666666666667,1.3333333333333333,0.0,0.0,-2.666666666666666
UAmDLPjNyMg_1,2-5s,control,137.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.5,1.0,0.0,0.0,-1.5
UE3XnVFodMI_1,2-5s,harmful,249.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.25,6.25,11.0,0.0,0.0,5.0
UQtBt6CQpwg_1,2-5s,control,59.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.5,1.5,7.0,0.0,0.0,0.0
UXGzbBGbqAA_2,2-5s,control,113.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,2.3333333333333335,1.3333333333333333,0.6666666666666666,0.0,0.0,-1.0000000000000002
V4PLSw_WzVw_1,2-5s,harmful,82.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,-100.0,0.0,-0.5
V4PLSw_WzVw_2,2-5s,control,82.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.5,0.5,0.0,0.0,-0.5
