query_slot,duration_bin,initial_width_norm,initial_width_sec_median,proposal_count,well_centered_proposal_count,well_centered_rate,matched_target_count,target_count,matched_rate,median_final_width_sec_centered,median_final_width_gt_ratio_centered
5,0-2s,0.4456096887588501,94.91486370563507,90,3,0.03333333333333333,90,828,0.10869565217391304,6.3629598543047905,6.3629598543047905
5,10-20s,0.4456096887588501,119.42339658737183,251,12,0.04780876494023904,33,421,0.07838479809976247,10.749819993972778,0.8270990066230297
5,2-5s,0.4456096887588501,83.99742633104324,376,21,0.05585106382978723,79,1007,0.07845084409136048,4.822287559509277,1.6934040561318398
5,20s+,0.4456096887588501,133.23729693889618,357,12,0.03361344537815126,71,442,0.16063348416289594,13.10578704252839,0.325358998136861
5,5-10s,0.4456096887588501,106.94632530212402,273,28,0.10256410256410256,57,595,0.0957983193277311,8.027551863342524,1.1871500788256526
6,0-2s,0.8429434299468994,179.54695057868958,90,0,0.0,91,828,0.10990338164251208,,
6,10-20s,0.8429434299468994,225.90883922576904,251,25,0.099601593625498,36,421,0.0855106888361045,12.486356735229492,1.02131302729249
6,2-5s,0.8429434299468994,158.89483654499054,376,24,0.06382978723404255,108,1007,0.10724925521350546,6.5276975547894835,1.9693223669504127
6,20s+,0.8429434299468994,252.04008555412292,357,12,0.03361344537815126,30,442,0.06787330316742081,25.98540122061968,0.5506331791160033
6,5-10s,0.8429434299468994,202.30642318725586,273,31,0.11355311355311355,46,595,0.0773109243697479,6.182281672954559,0.853380530141294
7,0-2s,0.8412365913391113,179.1833939552307,90,3,0.03333333333333333,92,828,0.1111111111111111,2.590099584311247,2.590099584311247
7,10-20s,0.8412365913391113,225.45140647888184,251,26,0.10358565737051793,51,421,0.12114014251781473,12.467320084571838,1.0377485587906379
7,2-5s,0.8412365913391113,158.57309746742249,376,34,0.09042553191489362,138,1007,0.13704071499503476,5.096810937859118,1.4188483939506114
7,20s+,0.8412365913391113,251.5297408103943,357,15,0.04201680672268908,59,442,0.1334841628959276,16.426535423845053,0.3834220181618418
7,5-10s,0.8412365913391113,201.89678192138672,273,22,0.08058608058608059,73,595,0.1226890756302521,6.324548808857799,0.8229430363047868
8,0-2s,0.5322582125663757,113.37099927663803,90,3,0.03333333333333333,84,828,0.10144927536231885,4.260554909706116,4.260554909706116
8,10-20s,0.5322582125663757,142.6452009677887,251,17,0.06772908366533864,30,421,0.07125890736342043,7.389826402068138,0.6214309672222418
8,2-5s,0.5322582125663757,100.33067306876183,376,32,0.0851063829787234,102,1007,0.1012909632571996,4.652955727651715,1.7393717610587678
8,20s+,0.5322582125663757,159.14520555734634,357,15,0.04201680672268908,66,442,0.1493212669683258,19.412981010973454,0.5399166075956254
8,5-10s,0.5322582125663757,127.74197101593018,273,23,0.08424908424908426,51,595,0.08571428571428572,7.085279360413551,1.3427031561732292
9,0-2s,0.6701281666755676,142.7372995018959,90,3,0.03333333333333333,83,828,0.10024154589371981,3.482335850596428,3.482335850596428
9,10-20s,0.6701281666755676,179.59434866905212,251,15,0.05976095617529881,79,421,0.1876484560570071,10.366603218019009,0.931504787877202
9,2-5s,0.6701281666755676,126.3191594183445,376,28,0.07446808510638298,139,1007,0.13803376365441908,3.8285762071609497,1.2963266344740987
9,20s+,0.6701281666755676,200.36832183599472,357,17,0.047619047619047616,46,442,0.10407239819004525,15.82329349219799,0.45880536660552024
9,5-10s,0.6701281666755676,160.83076000213623,273,29,0.10622710622710622,90,595,0.15126050420168066,6.213315485045314,0.9494410447776318
