N_queries,N_rows,replicate_count,mean_center_hit10_1s_pct,mean_center_hit10_2s_pct,mean_positive_overlap_candidate_top10_pct,mean_oracle10_iou05_pct,mean_oracle10_iou07_pct,mean_r1_iou05_pct,mean_r1_iou07_pct,median_final_center_error_sec,median_final_width_gt_ratio,mean_effective_accessible_tokens,mean_effective_distractor_count,mean_gt_token_count,mean_valid_token_count,condition,duration_bin
273,273,1,54.94505494505495,73.62637362637363,96.33699633699634,56.41025641025641,24.90842490842491,26.373626373626376,10.256410256410255,8.0,1.4444444444444444,214.86080586080587,201.04761904761904,13.813186813186814,214.86080586080587,FULL_ACCESS,5-10s
251,251,1,36.65338645418327,52.589641434262944,89.64143426294821,39.04382470119522,10.756972111553784,11.155378486055776,2.788844621513944,13.5,0.9166666666666666,27.366533864541832,0.0,27.366533864541832,220.72509960159363,GT_ONLY,10-20s
251,2510,10,55.059760956175296,73.06772908366533,97.92828685258964,69.4820717131474,33.46613545816733,31.195219123505975,13.545816733067728,5.0,1.0,76.07171314741036,48.70517928286853,27.366533864541832,220.72509960159363,RANDOM_25,10-20s
251,2510,10,56.135458167330675,71.79282868525897,97.88844621513945,70.3187250996016,35.73705179282868,31.872509960159363,16.05577689243028,5.0,0.9166666666666666,124.28685258964144,96.9203187250996,27.366533864541832,220.72509960159363,RANDOM_50,10-20s
251,251,1,54.18326693227091,68.12749003984064,97.21115537848605,69.7211155378486,38.24701195219124,31.47410358565737,16.334661354581673,5.0,0.875,220.72509960159363,193.3585657370518,27.366533864541832,220.72509960159363,RANDOM_100,10-20s
251,251,1,44.223107569721115,57.76892430278885,96.01593625498009,56.97211155378486,26.294820717131472,22.709163346613543,10.358565737051793,10.5,1.0,76.07171314741036,48.70517928286853,27.366533864541832,220.72509960159363,HARD_25,10-20s
251,251,1,47.01195219123506,63.745019920318725,98.40637450199203,62.54980079681275,31.872509960159363,28.286852589641438,13.94422310756972,6.0,0.9090909090909091,124.28685258964144,96.9203187250996,27.366533864541832,220.72509960159363,HARD_50,10-20s
251,251,1,54.18326693227091,68.12749003984064,97.21115537848605,69.7211155378486,38.24701195219124,31.47410358565737,16.334661354581673,5.0,0.875,220.72509960159363,193.3585657370518,27.366533864541832,220.72509960159363,HARD_100,10-20s
251,251,1,54.18326693227091,68.12749003984064,97.21115537848605,69.7211155378486,38.24701195219124,31.47410358565737,16.334661354581673,5.0,0.875,220.72509960159363,193.3585657370518,27.366533864541832,220.72509960159363,FULL_ACCESS,10-20s
357,357,1,35.85434173669468,48.739495798319325,95.23809523809523,52.66106442577031,28.291316526610643,18.487394957983195,5.602240896358544,17.5,0.42857142857142855,90.23529411764706,0.0,90.23529411764706,239.43977591036415,GT_ONLY,20s+
357,3570,10,38.767507002801125,54.48179271708683,99.6078431372549,69.24369747899159,40.056022408963585,34.11764705882353,12.521008403361344,11.0,0.4782608695652174,127.9327731092437,37.69747899159664,90.23529411764706,239.43977591036415,RANDOM_25,20s+
357,3570,10,39.46778711484594,55.35014005602241,99.77591036414566,69.187675070028,39.32773109243698,34.67787114845938,14.033613445378151,11.0,0.45161290322580644,165.10084033613447,74.8655462184874,90.23529411764706,239.43977591036415,RANDOM_50,20s+
357,357,1,36.41456582633053,54.621848739495796,99.71988795518207,65.54621848739495,38.93557422969188,32.773109243697476,15.686274509803921,10.5,0.43478260869565216,239.43977591036415,149.20448179271708,90.23529411764706,239.43977591036415,RANDOM_100,20s+
357,357,1,35.294117647058826,49.01960784313725,99.43977591036415,64.14565826330532,36.41456582633053,27.170868347338935,8.96358543417367,16.5,0.46938775510204084,127.9327731092437,37.69747899159664,90.23529411764706,239.43977591036415,HARD_25,20s+
357,357,1,35.01400560224089,52.94117647058824,99.43977591036415,66.38655462184873,37.81512605042017,31.932773109243694,12.605042016806722,12.5,0.45652173913043476,165.10084033613447,74.8655462184874,90.23529411764706,239.43977591036415,HARD_50,20s+
357,357,1,36.41456582633053,54.621848739495796,99.71988795518207,65.54621848739495,38.93557422969188,32.773109243697476,15.686274509803921,10.5,0.43478260869565216,239.43977591036415,149.20448179271708,90.23529411764706,239.43977591036415,HARD_100,20s+
357,357,1,36.41456582633053,54.621848739495796,99.71988795518207,65.54621848739495,38.93557422969188,32.773109243697476,15.686274509803921,10.5,0.43478260869565216,239.43977591036415,149.20448179271708,90.23529411764706,239.43977591036415,FULL_ACCESS,20s+
