condition,duration_bin,replicate,random_seed,N_queries,center_hit10_1s_pct,center_hit10_2s_pct,positive_overlap_candidate_top10_pct,oracle10_iou05_pct,oracle10_iou07_pct,r1_iou05_pct,r1_iou07_pct,median_final_center_error_sec,median_final_width_gt_ratio
RANDOM_25,2-5s,7,6488280323,376,54.78723404255319,71.01063829787235,88.29787234042553,27.127659574468083,8.24468085106383,10.106382978723403,2.393617021276596,6.75,3.0
RANDOM_25,2-5s,8,6488280324,376,53.72340425531915,71.27659574468085,87.7659574468085,27.393617021276594,7.446808510638298,11.170212765957446,2.393617021276596,6.5,3.0
RANDOM_25,2-5s,9,6488280325,376,53.98936170212766,71.27659574468085,89.09574468085107,29.25531914893617,8.24468085106383,10.372340425531915,3.723404255319149,6.5,3.0
RANDOM_25,5-10s,0,6488280316,273,56.043956043956044,68.86446886446886,96.33699633699634,52.01465201465202,21.978021978021978,20.87912087912088,8.791208791208792,5.0,1.625
RANDOM_25,5-10s,1,6488280317,273,58.24175824175825,71.42857142857143,95.23809523809523,58.24175824175825,23.076923076923077,20.87912087912088,7.326007326007327,5.0,1.5555555555555556
RANDOM_25,5-10s,2,6488280318,273,55.311355311355314,71.42857142857143,96.33699633699634,52.74725274725275,20.87912087912088,23.809523809523807,9.157509157509157,4.5,1.6
RANDOM_25,5-10s,3,6488280319,273,56.776556776556774,72.52747252747253,96.7032967032967,54.57875457875458,22.71062271062271,25.274725274725274,8.791208791208792,5.0,1.5
RANDOM_25,5-10s,4,6488280320,273,59.70695970695971,71.7948717948718,95.6043956043956,51.64835164835166,23.076923076923077,21.978021978021978,11.72161172161172,5.0,1.5714285714285714
RANDOM_25,5-10s,5,6488280321,273,54.94505494505495,71.06227106227107,97.06959706959707,54.94505494505495,22.344322344322347,24.54212454212454,8.791208791208792,4.5,1.6
RANDOM_25,5-10s,6,6488280322,273,55.67765567765568,72.52747252747253,96.7032967032967,55.67765567765568,21.611721611721613,26.73992673992674,9.157509157509157,4.5,1.5714285714285714
RANDOM_25,5-10s,7,6488280323,273,55.67765567765568,69.96336996336996,95.6043956043956,53.84615384615385,23.076923076923077,23.809523809523807,11.72161172161172,5.5,1.5714285714285714
RANDOM_25,5-10s,8,6488280324,273,57.14285714285714,71.06227106227107,96.33699633699634,53.47985347985348,21.978021978021978,23.076923076923077,8.791208791208792,4.5,1.6
RANDOM_25,5-10s,9,6488280325,273,54.57875457875458,71.42857142857143,95.97069597069597,51.64835164835166,20.87912087912088,24.90842490842491,8.424908424908425,4.5,1.6
