qid,vid,duration_sec,audio_duration_sec,gt_duration_sec,duration_bin,condition,replicate,random_seed,gt_token_count,valid_token_count,effective_accessible_tokens,effective_distractor_count,center_hit10_1s,center_hit10_2s,positive_overlap_candidate_top10,oracle10_iou05,oracle10_iou07,r1_iou05,r1_iou07,top1_iou07_success,final_center_error_sec,final_width_gt_ratio
m_U506sf9p4_4,m_U506sf9p4,212.0,212.0,3.0,2-5s,HARD_50,0,,3,212,108,105,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,57.0,3.6666666666666665
m_U506sf9p4_5,m_U506sf9p4,212.0,212.0,61.0,20s+,HARD_50,0,,61,212,137,76,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,87.0,0.18032786885245902
maVYiednkSg_1,maVYiednkSg,142.0,142.0,46.0,20s+,HARD_50,0,,89,142,116,27,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,0.34782608695652173
maVYiednkSg_2,maVYiednkSg,142.0,142.0,5.0,5-10s,HARD_50,0,,10,142,76,66,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.6
maVYiednkSg_3,maVYiednkSg,142.0,142.0,46.0,20s+,HARD_50,0,,46,142,94,48,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,11.5,0.5434782608695652
maVYiednkSg_4,maVYiednkSg,142.0,142.0,12.0,10-20s,HARD_50,0,,12,142,77,65,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,0.8333333333333334
mlnUJH4BQnk_1,mlnUJH4BQnk,150.0,150.0,26.0,20s+,HARD_50,0,,47,150,99,52,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.15384615384615385
n-JyOqYSLQM_1,n-JyOqYSLQM,299.0,299.0,6.0,5-10s,HARD_50,0,,6,299,153,147,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,51.0,4.666666666666667
n-JyOqYSLQM_2,n-JyOqYSLQM,299.0,299.0,2.0,2-5s,HARD_50,0,,2,299,151,149,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.5,4.5
n74IYuCe_ms_1,n74IYuCe_ms,144.0,144.0,5.0,5-10s,HARD_50,0,,16,144,80,64,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.5,1.2
nD1K1Zo0qrM_1,nD1K1Zo0qrM,299.0,299.0,16.0,10-20s,HARD_50,0,,27,299,163,136,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.5625
nD1K1Zo0qrM_2,nD1K1Zo0qrM,299.0,299.0,16.0,10-20s,HARD_50,0,,41,299,170,129,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,2.4375
nD1K1Zo0qrM_3,nD1K1Zo0qrM,299.0,299.0,72.0,20s+,HARD_50,0,,224,299,262,38,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,8.5,1.5
nD1K1Zo0qrM_4,nD1K1Zo0qrM,299.0,299.0,7.0,5-10s,HARD_50,0,,7,299,153,146,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,67.5,19.714285714285715
