qid,vid,duration_bin,gt_duration_sec,audio_duration_sec,hard_center_hit10_2s,random25_center_hit10_2s_mean,hard_minus_random_center,cohort,p3_location_failure,condition,active_layer,removed_token_count,full_center_hit10_2s,intervention_center_hit10_2s,intervention_minus_full_center_pp,intervention_oracle10_iou07,intervention_width_gt_ratio
Flk-X0gwjF4_1,Flk-X0gwjF4,2-5s,4.0,299.0,0.0,0.0,0.0,control,1,REMOVE_HARD_LAYER2_ONLY,LAYER2_ONLY,16,0.0,0.0,0.0,0.0,4.75
Flk-X0gwjF4_1,Flk-X0gwjF4,2-5s,4.0,299.0,0.0,0.0,0.0,control,1,REMOVE_HARD_FINAL_LAYER_ONLY,FINAL_LAYER_ONLY,16,0.0,0.0,0.0,0.0,4.75
G3YO2unWz7k_1,G3YO2unWz7k,0-2s,1.0,299.0,0.0,0.0,0.0,control,1,REMOVE_HARD_ALL_LAYERS,ALL_LAYERS,24,0.0,0.0,0.0,0.0,9.0
G3YO2unWz7k_1,G3YO2unWz7k,0-2s,1.0,299.0,0.0,0.0,0.0,control,1,REMOVE_HARD_LAYER1_ONLY,LAYER1_ONLY,24,0.0,0.0,0.0,0.0,10.0
G3YO2unWz7k_1,G3YO2unWz7k,0-2s,1.0,299.0,0.0,0.0,0.0,control,1,REMOVE_HARD_LAYER2_ONLY,LAYER2_ONLY,24,0.0,0.0,0.0,0.0,10.0
G3YO2unWz7k_1,G3YO2unWz7k,0-2s,1.0,299.0,0.0,0.0,0.0,control,1,REMOVE_HARD_FINAL_LAYER_ONLY,FINAL_LAYER_ONLY,24,0.0,0.0,0.0,0.0,10.0
GGgQR7aIofY_1,GGgQR7aIofY,2-5s,2.0,168.0,1.0,1.0,0.0,control,0,REMOVE_HARD_ALL_LAYERS,ALL_LAYERS,4,1.0,1.0,0.0,0.0,2.5
GGgQR7aIofY_1,GGgQR7aIofY,2-5s,2.0,168.0,1.0,1.0,0.0,control,0,REMOVE_HARD_LAYER1_ONLY,LAYER1_ONLY,4,1.0,1.0,0.0,0.0,2.5
GGgQR7aIofY_1,GGgQR7aIofY,2-5s,2.0,168.0,1.0,1.0,0.0,control,0,REMOVE_HARD_LAYER2_ONLY,LAYER2_ONLY,4,1.0,1.0,0.0,0.0,2.5
GGgQR7aIofY_1,GGgQR7aIofY,2-5s,2.0,168.0,1.0,1.0,0.0,control,0,REMOVE_HARD_FINAL_LAYER_ONLY,FINAL_LAYER_ONLY,4,1.0,1.0,0.0,0.0,2.5
GGgQR7aIofY_3,GGgQR7aIofY,2-5s,3.0,168.0,0.0,0.6,-0.6,harmful,1,REMOVE_HARD_ALL_LAYERS,ALL_LAYERS,20,0.0,1.0,100.0,0.0,1.6666666666666667
GGgQR7aIofY_3,GGgQR7aIofY,2-5s,3.0,168.0,0.0,0.6,-0.6,harmful,1,REMOVE_HARD_LAYER1_ONLY,LAYER1_ONLY,20,0.0,1.0,100.0,0.0,2.0
GGgQR7aIofY_3,GGgQR7aIofY,2-5s,3.0,168.0,0.0,0.6,-0.6,harmful,1,REMOVE_HARD_LAYER2_ONLY,LAYER2_ONLY,20,0.0,0.0,0.0,0.0,1.3333333333333333
