variant,gt_bin,audio_duration_sec,N_proposals,median_final_abs_log_width_gt_ratio,median_final_width_gt_ratio,median_final_width_sec,N_audio_duration_strata,audio_duration_slope_abs_log_ratio_per_sec,audio_duration_slope_abs_log_ratio_per_100sec
baseline,2-5s,89.0,1,0.7034656846653154,2.0207438468933105,8.082975387573242,,,
baseline,2-5s,90.0,1,0.5903782868830979,1.8046709696451824,5.414012908935547,,,
baseline,2-5s,93.0,1,1.5342710067236565,4.637943267822266,18.551773071289062,,,
baseline,2-5s,95.0,2,0.8316902085278409,2.321467081705729,6.9644012451171875,,,
baseline,2-5s,96.0,7,0.5222213219138485,1.6857681274414062,3.9339981079101562,,,
baseline,2-5s,97.0,4,0.25866619691127357,1.2952295939127603,3.8856887817382812,,,
baseline,2-5s,99.0,2,0.9572468834568626,2.6878662109375,5.375732421875,,,
baseline,2-5s,102.0,2,0.6121035634766483,1.845015525817871,3.690031051635742,,,
baseline,2-5s,105.0,5,0.3946776604095673,1.4839057922363281,5.9356231689453125,,,
baseline,2-5s,106.0,2,0.2641173458061314,1.1728591918945312,4.691436767578125,,,
baseline,2-5s,113.0,2,0.5470860909563366,1.016863505045573,3.0505905151367188,,,
baseline,2-5s,115.0,1,0.49161990423767654,1.634962558746338,3.269925117492676,,,
baseline,2-5s,118.0,2,0.07514329584680697,1.0803418159484863,4.321367263793945,,,
baseline,2-5s,119.0,3,0.3646116948238101,1.4399547576904297,5.759819030761719,,,
baseline,2-5s,120.0,2,0.9843675956123797,2.68681001663208,5.37362003326416,,,
baseline,2-5s,121.0,1,0.44050381002112854,1.5534896850585938,3.1069793701171875,,,
baseline,2-5s,122.0,1,1.460030160743624,4.306089401245117,8.612178802490234,,,
baseline,2-5s,125.0,1,0.44579625952840224,1.5617332458496094,4.685199737548828,,,
baseline,2-5s,128.0,2,0.6260465640964763,2.1187806129455566,5.360563278198242,,,
baseline,2-5s,129.0,1,0.3983393569623594,1.489349365234375,4.468048095703125,,,
baseline,2-5s,131.0,1,0.4461015385374685,1.5622100830078125,6.24884033203125,,,
baseline,2-5s,133.0,2,0.49420213388940143,1.7654377619425454,5.296313285827637,,,
baseline,2-5s,137.0,3,0.9170930222578271,2.5020065307617188,5.0040130615234375,,,
baseline,2-5s,148.0,2,1.4267601370039302,4.366153717041016,13.098461151123047,,,
baseline,2-5s,150.0,1,0.06113431497066062,1.0630416870117188,4.252166748046875,,,
baseline,2-5s,160.0,2,0.5538405837434472,1.779876708984375,3.55975341796875,,,
baseline,2-5s,163.0,2,0.7965873885224123,2.2889137268066406,5.439537048339844,,,
baseline,2-5s,164.0,1,0.39617184215653883,1.4861246744791667,4.4583740234375,,,
baseline,2-5s,179.0,3,0.3547386375234415,1.4258079528808594,5.7032318115234375,,,
baseline,2-5s,185.0,1,2.1108921015511743,8.255602836608887,33.02241134643555,,,
baseline,2-5s,194.0,1,0.7306212920122258,2.0763702392578125,4.152740478515625,,,
baseline,2-5s,202.0,1,1.4984859780523163,4.474908828735352,13.424726486206055,,,
baseline,2-5s,205.0,1,2.0728663223232213,7.94757080078125,15.8951416015625,,,
baseline,2-5s,209.0,2,1.3681103004927322,4.124580383300781,8.249160766601562,,,
baseline,2-5s,210.0,1,1.4395673583059845,4.218870162963867,8.437740325927734,,,
baseline,2-5s,223.0,3,0.836283796944013,2.307774861653646,6.9233245849609375,,,
baseline,2-5s,260.0,1,0.9397141991200523,2.5592498779296875,10.23699951171875,,,
baseline,2-5s,285.0,1,1.3938531541896075,4.0303497314453125,8.060699462890625,,,
baseline,2-5s,299.0,16,1.2831974053654145,3.612379550933838,9.334213256835938,,,
baseline,2-5s,300.0,14,1.2197985429614793,3.395987033843994,10.442764282226562,,,
baseline,5-10s,60.0,2,0.8788104186003285,0.41569080352783205,2.07845401763916,,,
baseline,5-10s,64.0,2,0.06329587876425793,0.9444789886474609,4.722394943237305,,,
baseline,5-10s,66.0,3,0.8924194537713085,0.40966339111328126,2.0483169555664062,,,
baseline,5-10s,68.0,1,1.5027823285824118,0.22251020159040177,1.5575714111328125,,,
baseline,5-10s,71.0,1,0.3188069254597598,0.7270159040178571,5.089111328125,,,
baseline,5-10s,72.0,1,0.4771826572241225,0.6205291748046875,4.3437042236328125,,,
baseline,5-10s,74.0,4,0.8962294002710365,0.40967750549316406,2.0483875274658203,,,
baseline,5-10s,76.0,1,0.314307448067001,0.7302944660186768,5.842355728149414,,,
baseline,5-10s,77.0,1,0.03334800066562925,0.9672019141060966,6.770413398742676,,,
baseline,5-10s,80.0,1,1.9627007156018963,0.140478515625,0.702392578125,,,
baseline,5-10s,82.0,1,0.29612828603325303,0.7436920166015625,3.7184600830078125,,,
baseline,5-10s,84.0,1,1.2493584311596635,0.2866886683872768,2.0068206787109375,,,
baseline,5-10s,85.0,6,0.3721362718816096,0.6949044545491536,4.360197067260742,,,
baseline,5-10s,87.0,2,0.7648728404828178,0.4693460464477539,3.7547683715820312,,,
baseline,5-10s,88.0,1,0.3408982155621524,0.7111312866210937,3.5556564331054688,,,
baseline,5-10s,90.0,3,0.3650557963859925,0.6941579182942709,4.164947509765625,,,
baseline,5-10s,96.0,3,0.7653714112423049,0.4651611328125,3.436431884765625,,,
baseline,5-10s,97.0,1,0.6309791221867702,0.5320705837673612,4.78863525390625,,,
baseline,5-10s,102.0,1,0.2860372931469275,0.751234599522182,5.258642196655273,,,
baseline,5-10s,105.0,1,0.14507925812508377,1.1561311994280135,8.092918395996094,,,
baseline,5-10s,106.0,2,0.6698485375592231,0.5196963846683502,4.157571077346802,,,
baseline,5-10s,109.0,1,0.6613403098041135,0.5161590576171875,3.096954345703125,,,
baseline,5-10s,110.0,1,0.45997594989889073,0.631298828125,3.156494140625,,,
baseline,5-10s,116.0,1,1.726992002372453,5.623712327745226,50.61341094970703,,,
baseline,5-10s,119.0,3,0.2254249696391683,1.2528550284249442,8.76998519897461,,,
baseline,5-10s,120.0,4,0.1977383590585955,0.8206202189127605,6.59429931640625,,,
baseline,5-10s,121.0,1,0.4480646615463193,0.6388633728027344,3.194316864013672,,,
baseline,5-10s,122.0,1,0.08021523164239709,0.9229176839192709,8.306259155273438,,,
baseline,5-10s,123.0,4,0.24490226157151215,0.7830273310343425,4.698163986206055,,,
baseline,5-10s,142.0,2,1.6004939562397933,5.520274861653646,43.50675964355469,,,
baseline,5-10s,150.0,1,0.274594129648956,1.3159964425223214,9.21197509765625,,,
baseline,5-10s,156.0,1,0.1693521305309887,0.8442115783691406,5.065269470214844,,,
baseline,5-10s,157.0,3,0.8106656955567404,2.2494049072265625,11.247024536132812,,,
baseline,5-10s,160.0,1,0.15375823396884802,1.1662089029947917,10.495880126953125,,,
baseline,5-10s,170.0,3,0.9449831444423449,2.572770012749566,23.154930114746094,,,
baseline,5-10s,172.0,2,0.12135220882773097,0.8877610070364816,5.266430854797363,,,
baseline,5-10s,183.0,3,0.3076624039714166,1.126080322265625,5.630401611328125,,,
baseline,5-10s,208.0,1,0.19474734204245348,1.2150039672851562,9.72003173828125,,,
baseline,5-10s,214.0,2,0.07097238060367378,0.954193115234375,7.633544921875,,,
baseline,5-10s,220.0,3,0.09844579484278011,0.9538828531901041,5.723297119140625,,,
baseline,5-10s,224.0,1,0.3104042371398969,1.3639763726128473,12.275787353515625,,,
baseline,5-10s,230.0,2,0.6715274246566953,0.75994873046875,4.5596923828125,,,
baseline,5-10s,233.0,2,0.6168835807905391,2.1679504939488004,15.697074890136719,,,
baseline,5-10s,239.0,2,0.5274797779180979,1.7029240926106772,10.217544555664062,,,
baseline,5-10s,242.0,1,0.3284225206784775,1.388775634765625,6.943878173828125,,,
baseline,5-10s,248.0,3,0.5314608547191751,1.701416015625,8.507080078125,,,
baseline,5-10s,249.0,1,0.0787630373789088,0.9242589133126395,6.469812393188477,,,
baseline,5-10s,267.0,2,0.5447840485492244,1.5666973537868925,9.410835266113281,,,
baseline,5-10s,273.0,1,0.22300248233667155,1.2498236762152777,11.2484130859375,,,
baseline,5-10s,285.0,2,0.5197107992947008,1.681756591796875,8.408782958984375,,,
baseline,5-10s,297.0,2,0.1026306406050748,1.112827181816101,8.902617454528809,,,
baseline,5-10s,299.0,18,0.4997884856309651,1.6596059163411458,11.696277618408203,,,
baseline,5-10s,300.0,2,0.41686222736958906,1.0569519996643066,8.77572250366211,,,
baseline,10-20s,60.0,9,1.621731998089814,0.19755623557350852,2.1731185913085938,,,
baseline,10-20s,61.0,1,1.7011851619446672,0.1824671427408854,2.7370071411132812,,,
baseline,10-20s,62.0,1,0.7935760292465412,0.4522247314453125,7.235595703125,,,
