variant,gt_bin,stage,subset,N_proposals,median_abs_log_width_gt_ratio,median_width_gt_ratio,median_width_sec,median_nearest_gt_center_distance_sec,median_best_gt_iou,median_audio_duration_sec
baseline,10-20s,initial,initial_center_le1s,112,1.8110151863587383,6.122523625691732,71.3267822265625,0.4796314239501953,0.12308791210541241,143.0
baseline,10-20s,initial,initial_center_le2s,219,1.656581679252163,5.241363525390625,64.93617248535156,0.9285354614257812,0.13782398381629596,142.0
baseline,10-20s,decoder_layer1,all,2510,0.8094687324031835,2.1131886073521207,28.378204345703125,23.664525985717773,0.0,268.0
baseline,10-20s,decoder_layer1,initial_center_le1s,112,0.6752456987401132,1.741066708284266,26.385761260986328,4.200901031494141,0.2287930234337956,143.0
baseline,10-20s,decoder_layer1,initial_center_le2s,219,0.6833232862120434,1.761056900024414,25.701141357421875,4.282958984375,0.22511137750878482,142.0
baseline,10-20s,decoder_layer2,all,2510,0.5528590876950512,1.2822192925673264,16.976837158203125,22.109432220458984,0.0,268.0
baseline,10-20s,decoder_layer2,initial_center_le1s,112,0.5319811054249437,1.3763851192262437,18.034404754638672,3.6694488525390625,0.24804698983671858,143.0
baseline,10-20s,decoder_layer2,initial_center_le2s,219,0.5804087344389756,1.3490211963653564,17.933929443359375,4.251106262207031,0.21998169502098716,142.0
baseline,10-20s,final_span,all,2510,0.5611218292083653,0.6776302370250735,9.159106254577637,22.86600112915039,0.0,268.0
baseline,10-20s,final_span,initial_center_le1s,112,0.7210317165359801,0.5684415458613991,7.1894073486328125,2.2830467224121094,0.2597826391522633,143.0
baseline,10-20s,final_span,initial_center_le2s,219,0.6956829029848346,0.573141831618089,7.321533203125,2.717376708984375,0.26621294668010065,142.0
baseline,20s+,initial,all,3570,0.9321411999260829,2.0862194558848506,116.18730926513672,23.459060668945312,0.1904653110384673,299.0
baseline,20s+,initial,initial_center_le1s,101,1.1608339179453264,3.116854128630265,113.53734588623047,0.4616546630859375,0.20947357044100856,282.0
baseline,20s+,initial,initial_center_le2s,205,1.06857017531567,2.7255089393028844,93.24507904052734,1.019439697265625,0.20750756848045018,222.0
baseline,20s+,decoder_layer1,all,3570,0.586519856588162,0.8138389738779219,38.85929489135742,25.777252197265625,0.16496066398107212,299.0
baseline,20s+,decoder_layer1,initial_center_le1s,101,0.5485328688005242,0.9670342339409722,35.23089599609375,7.968879699707031,0.27573075070279346,282.0
baseline,20s+,decoder_layer1,initial_center_le2s,205,0.5196537286244012,0.9131388346354167,31.28217315673828,7.040763854980469,0.2652230250492151,222.0
baseline,20s+,decoder_layer2,all,3570,0.7531820370441902,0.541748713078111,25.57109260559082,23.77935791015625,0.129129814379143,299.0
baseline,20s+,decoder_layer2,initial_center_le1s,101,0.6569996160876563,0.607101803734189,22.00146484375,8.29205322265625,0.21999518530347453,282.0
baseline,20s+,decoder_layer2,initial_center_le2s,205,0.6716872072919704,0.5838348388671875,21.7376708984375,7.2217559814453125,0.21999518530347453,222.0
baseline,20s+,final_span,all,3570,1.2282771714375276,0.2967569055691571,12.809558868408203,24.140483856201172,0.0837108994127207,299.0
baseline,20s+,final_span,initial_center_le1s,101,1.2228653369863323,0.30305904812282985,10.910125732421875,6.124603271484375,0.19613749489072904,282.0
baseline,20s+,final_span,initial_center_le2s,205,1.2544015783499127,0.28951492309570315,10.6142578125,5.777008056640625,0.2080096435546875,222.0
baseline,overall,initial,all,13470,2.315522258169101,10.103472137451172,93.24507904052734,26.61782455444336,0.030274883280490352,240.0
baseline,overall,initial,initial_center_le1s,478,2.15319763127339,8.612373352050781,73.36059188842773,0.4889068603515625,0.09294974208829399,156.5
baseline,overall,initial,initial_center_le2s,914,2.103434979609471,8.193293162754603,69.38788986206055,0.9337882995605469,0.09786870201326173,155.5
baseline,overall,decoder_layer1,all,13470,1.2691639246417377,3.1619881116426907,27.734970092773438,28.15673065185547,0.0,240.0
baseline,overall,decoder_layer1,initial_center_le1s,478,1.1749485691196964,3.1022567749023438,23.94173240661621,5.468685150146484,0.1292076524915256,156.5
baseline,overall,decoder_layer1,initial_center_le2s,914,1.1295464824320407,2.789641085537997,23.578908920288086,5.293998718261719,0.12900820451053766,155.5
baseline,overall,decoder_layer2,all,13470,1.0314486972759536,1.9585652537160105,17.062095642089844,27.52429962158203,0.0,240.0
baseline,overall,decoder_layer2,initial_center_le1s,478,0.9440283301306394,2.0595224553888496,17.258195877075195,5.855649948120117,0.13519878650836814,156.5
baseline,overall,decoder_layer2,initial_center_le2s,914,0.927304361320989,1.9611358642578125,16.557140350341797,5.419914245605469,0.13432588924797384,155.5
baseline,overall,final_span,all,13470,0.8323762805780349,1.0294636317661832,8.691329956054688,27.754013061523438,0.0,240.0
baseline,overall,final_span,initial_center_le1s,478,0.7417195251611319,0.8689922332763672,6.807525634765625,4.660068511962891,0.15746433625117734,156.5
baseline,overall,final_span,initial_center_le2s,914,0.7655062039514242,0.8348971254685346,6.9586181640625,4.291103363037109,0.1696554588154695,155.5
r1,0-2s,initial,all,900,4.492126933574056,89.31120300292969,89.31120300292969,42.34521484375,0.003952569527538091,213.0
r1,0-2s,initial,initial_center_le1s,12,3.7142970588942603,41.128578186035156,41.128578186035156,0.41347312927246094,0.024431282985588984,143.5
r1,0-2s,initial,initial_center_le2s,21,3.7362837416401384,41.94183349609375,41.94183349609375,0.7914810180664062,0.02384254374795358,147.0
r1,0-2s,decoder_layer1,all,900,2.5183186272426434,12.407722473144531,12.407722473144531,47.76136016845703,0.0,213.0
r1,0-2s,decoder_layer1,initial_center_le1s,12,2.3907051466160514,11.265604019165039,11.265604019165039,11.230674743652344,0.0,143.5
