row_type,gt_duration_bin_broad,matching_cell,short_qid,long_qid,short_vid,long_vid,short_audio_duration_sec,long_audio_duration_sec,short_gt_duration_sec,long_gt_duration_sec,short_gt_count,long_gt_count,short_query_word_count,long_query_word_count,short_r1_iou05,long_r1_iou05,long_minus_short_r1_iou05,short_r1_iou07,long_r1_iou07,long_minus_short_r1_iou07,short_oracle10_iou07,long_oracle10_iou07,long_minus_short_oracle10_iou07,short_qd_top1_center_hit_le_2s,long_qd_top1_center_hit_le_2s,long_minus_short_qd_top1_center_hit_le_2s,short_final_width_gt_ratio,long_final_width_gt_ratio,long_minus_short_final_width_gt_ratio,short_center_error_sec,long_center_error_sec,long_minus_short_center_error_sec,short_normalized_gt_width,long_normalized_gt_width,long_minus_short_normalized_gt_width
matched_pair,2-5s,2-3s|1|0-5w,E3Q1jfTeuWs_2,LVvS3s9dFKw_3,E3Q1jfTeuWs,LVvS3s9dFKw,60.0,226.0,2.0,2.0,1,1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,5.0,3.5,28.5,47.0,18.5,0.03333333333333333,0.008849557522123894,-0.02448377581120944
matched_pair,2-5s,2-3s|1|0-5w,GGgQR7aIofY_1,n-JyOqYSLQM_2,GGgQR7aIofY,n-JyOqYSLQM,168.0,299.0,2.0,2.0,1,1,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,2.5,4.5,2.0,1.5,36.5,35.0,0.011904761904761904,0.006688963210702341,-0.005215798694059563
matched_pair,2-5s,2-3s|1|0-5w,IsUG5SKWNZA_2,VjSEIRnLAh8_2,IsUG5SKWNZA,VjSEIRnLAh8,134.0,300.0,2.0,2.0,1,1,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,8.0,5.5,82.5,146.0,63.5,0.014925373134328358,0.006666666666666667,-0.008258706467661692
matched_pair,2-5s,2-3s|1|0-5w,OpiWMltpj44_4,AI1OweEW8C0_2,OpiWMltpj44,AI1OweEW8C0,77.0,205.0,2.0,2.0,1,1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,1.0,13.5,12.5,1.0,129.5,128.5,0.025974025974025976,0.00975609756097561,-0.016217928413050364
matched_pair,2-5s,2-3s|1|0-5w,VE6Ku0-ucUM_1,Hdxfbpnd2-8_3,VE6Ku0-ucUM,Hdxfbpnd2-8,66.0,299.0,2.0,2.0,1,1,2,2,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,3.5,2.5,0.0,145.5,145.5,0.030303030303030304,0.006688963210702341,-0.023614067092327964
matched_pair,2-5s,2-3s|1|0-5w,ZTYAQBnU4GM_1,pgq2KPX5_SA_4,ZTYAQBnU4GM,pgq2KPX5_SA,114.0,208.0,2.0,2.0,1,1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,24.0,1.0,-23.0,0.017543859649122806,0.009615384615384616,-0.00792847503373819
matched_pair,2-5s,2-3s|1|0-5w,hDMHIDJdfDA_3,uY4fe5DT1gI_2,hDMHIDJdfDA,uY4fe5DT1gI,76.0,299.0,2.0,2.0,1,1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.5,11.5,43.0,199.5,156.5,0.02631578947368421,0.006688963210702341,-0.01962682626298187
matched_pair,2-5s,2-3s|1|0-5w,lVr-PxhZo8s_1,wAZrOPvul4Y_1,lVr-PxhZo8s,wAZrOPvul4Y,69.0,283.0,2.0,2.0,1,1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,1.0,5.0,4.0,1.0,50.0,49.0,0.028985507246376812,0.007067137809187279,-0.021918369437189535
matched_pair,2-5s,2-3s|1|0-5w,MdlEswBfZMQ_2,ZBtgrP4vU_w_2,MdlEswBfZMQ,ZBtgrP4vU_w,120.0,300.0,2.0,2.0,1,1,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3.0,1.5,36.5,5.0,-31.5,0.016666666666666666,0.006666666666666667,-0.009999999999999998
matched_pair,2-5s,2-3s|1|11-15w,7P6lcyeDKNI_1,52IxrdTxGs4_3,7P6lcyeDKNI,52IxrdTxGs4,98.0,213.0,2.0,2.0,1,1,12,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,68.0,141.0,73.0,0.02040816326530612,0.009389671361502348,-0.011018491903803773
