gt_duration_band,outcome,model,N,r2,standardized_betas,median_audio_duration_sec,median_normalized_gt_width,median_initial_width_gt_ratio
5-10s,oracle10_iou07,GT_ABSOLUTE_DURATION_ONLY,273,0.008068755211833034,"{""gt_duration_sec"": 0.08982625012674872}",240.0,0.03,17.05470645137316
5-10s,oracle10_iou07,NORMALIZED_GT_WIDTH_ONLY,273,0.038149062385870236,"{""normalized_gt_width"": 0.19531784963456447}",240.0,0.03,17.05470645137316
5-10s,oracle10_iou07,INITIAL_WIDTH_GT_ONLY,273,0.04476682084685446,"{""initial_width_gt_ratio_median"": -0.21158171198583}",240.0,0.03,17.05470645137316
5-10s,oracle10_iou07,AUDIO_DURATION_PLUS_INITIAL_WIDTH_GT,273,0.045814146888506824,"{""audio_duration_sec"": -0.0674124492809871, ""initial_width_gt_ratio_median"": -0.15244532490977225}",240.0,0.03,17.05470645137316
5-10s,oracle10_iou07,AUDIO_DURATION_PLUS_NORMALIZED_GT_WIDTH,273,0.042025865677320695,"{""audio_duration_sec"": -0.12917432890481617, ""normalized_gt_width"": 0.0821400958286197}",240.0,0.03,17.05470645137316
10-20s,final_width_gt_ratio,AUDIO_DURATION_ONLY,251,0.015541786196637153,"{""audio_duration_sec"": 0.12466670043214119}",268.0,0.056666666666666664,9.028962238962261
10-20s,final_width_gt_ratio,GT_ABSOLUTE_DURATION_ONLY,251,0.012166702780201821,"{""gt_duration_sec"": -0.11030277775378969}",268.0,0.056666666666666664,9.028962238962261
10-20s,final_width_gt_ratio,NORMALIZED_GT_WIDTH_ONLY,251,0.025967461141418013,"{""normalized_gt_width"": -0.16114422466045192}",268.0,0.056666666666666664,9.028962238962261
10-20s,final_width_gt_ratio,INITIAL_WIDTH_GT_ONLY,251,0.024045801161391878,"{""initial_width_gt_ratio_median"": 0.15506708600277416}",268.0,0.056666666666666664,9.028962238962261
10-20s,final_width_gt_ratio,AUDIO_DURATION_PLUS_INITIAL_WIDTH_GT,251,0.024454279469733664,"{""audio_duration_sec"": -0.040780214120771534, ""initial_width_gt_ratio_median"": 0.19048667882079087}",268.0,0.056666666666666664,9.028962238962261
10-20s,final_width_gt_ratio,AUDIO_DURATION_PLUS_NORMALIZED_GT_WIDTH,251,0.026557546877808647,"{""audio_duration_sec"": -0.04646322706005166, ""normalized_gt_width"": -0.20075161958164753}",268.0,0.056666666666666664,9.028962238962261
10-20s,short_failure_iou07,AUDIO_DURATION_ONLY,251,0.00019614198775341762,"{""audio_duration_sec"": -0.014005070073124126}",268.0,0.056666666666666664,9.028962238962261
10-20s,short_failure_iou07,GT_ABSOLUTE_DURATION_ONLY,251,0.005878504021523789,"{""gt_duration_sec"": 0.07667140289262647}",268.0,0.056666666666666664,9.028962238962261
10-20s,short_failure_iou07,NORMALIZED_GT_WIDTH_ONLY,251,0.0031183601233830682,"{""normalized_gt_width"": 0.055842278995246464}",268.0,0.056666666666666664,9.028962238962261
10-20s,short_failure_iou07,INITIAL_WIDTH_GT_ONLY,251,0.0036720697200178787,"{""initial_width_gt_ratio_median"": -0.06059760490331006}",268.0,0.056666666666666664,9.028962238962261
10-20s,short_failure_iou07,AUDIO_DURATION_PLUS_INITIAL_WIDTH_GT,251,0.009746554239844052,"{""audio_duration_sec"": 0.15726052353289288, ""initial_width_gt_ratio_median"": -0.19718599292371702}",268.0,0.056666666666666664,9.028962238962261
10-20s,short_failure_iou07,AUDIO_DURATION_PLUS_NORMALIZED_GT_WIDTH,251,0.007248041385552795,"{""audio_duration_sec"": 0.12291646964110213, ""normalized_gt_width"": 0.16062193945882303}",268.0,0.056666666666666664,9.028962238962261
10-20s,r1_iou07,AUDIO_DURATION_ONLY,251,0.00019614198775341762,"{""audio_duration_sec"": 0.01400507007312431}",268.0,0.056666666666666664,9.028962238962261
10-20s,r1_iou07,GT_ABSOLUTE_DURATION_ONLY,251,0.005878504021523567,"{""gt_duration_sec"": -0.07667140289262632}",268.0,0.056666666666666664,9.028962238962261
10-20s,r1_iou07,NORMALIZED_GT_WIDTH_ONLY,251,0.0031183601233830682,"{""normalized_gt_width"": -0.055842278995246554}",268.0,0.056666666666666664,9.028962238962261
